ORDER : { 3 , 4 , 6 , 2 , 4 , 6 , 2 , 3 , 5 , }
ORDER : { 3 , 5 , 6 , 2 , 4 , 6 , 1 , 3 , 5 , }
ORDER : { 3 , 5 , 7 , 2 , 4 , 6 , 1 , 3 , 5 , }
ORDER : { 3 , 5 , 7 , 2 , 4 , 6 , 1 , 3 , 4 , }
ORDER : { 4 , 5 , 7 , 2 , 4 , 6 , 1 , 3 , 4 , }
ORDER : { 4 , 5 , 7 , 2 , 4 , 5 , 1 , 3 , 4 , }
ORDER : { 4 , 5 , 7 , 3 , 4 , 5 , 1 , 3 , 4 , }
ORDER : { 4 , 5 , 7 , 3 , 4 , 5 , 1 , 2 , 4 , }
ORDER : { 4 , 6 , 7 , 3 , 4 , 5 , 1 , 2 , 4 , }
ORDER : { 4 , 6 , 7 , 3 , 4 , 5 , 1 , 2 , 3 , }
ORDER : { 5 , 6 , 7 , 3 , 4 , 5 , 1 , 2 , 3 , }
ORDER : { 5 , 6 , 6 , 3 , 4 , 5 , 1 , 2 , 3 , }
ORDER : { 5 , 6 , 6 , 3 , 4 , 4 , 2 , 2 , 3 , }
ORDER : { 5 , 6 , 6 , 4 , 4 , 4 , 2 , 2 , 2 , }
ORDER : { 6 , 6 , 6 , 4 , 4 , 4 , 2 , 2 , 2 , }
ORDER : { 6 , 6 , 5 , 4 , 4 , 4 , 2 , 2 , 2 , }
ORDER : { 6 , 6 , 5 , 4 , 4 , 3 , 3 , 2 , 2 , }
ORDER : { 6 , 6 , 5 , 5 , 4 , 3 , 3 , 2 , 1 , }
ORDER : { 7 , 6 , 5 , 5 , 4 , 3 , 3 , 2 , 1 , }
ORDER : { 7 , 6 , 4 , 5 , 4 , 3 , 3 , 2 , 1 , }
ORDER : { 7 , 6 , 4 , 5 , 4 , 3 , 4 , 2 , 1 , }
ORDER : { 7 , 5 , 4 , 5 , 4 , 3 , 4 , 2 , 1 , }
ORDER : { 7 , 5 , 4 , 5 , 4 , 3 , 4 , 3 , 1 , }
ORDER : { 7 , 5 , 4 , 5 , 4 , 2 , 4 , 3 , 1 , }
ORDER : { 7 , 5 , 4 , 6 , 4 , 2 , 4 , 3 , 1 , }
ORDER : { 7 , 5 , 3 , 6 , 4 , 2 , 4 , 3 , 1 , }
ORDER : { 7 , 5 , 3 , 6 , 4 , 2 , 5 , 3 , 1 , }
ORDER : { 6 , 5 , 3 , 6 , 4 , 2 , 5 , 3 , 1 , }
ORDER : { 6 , 4 , 3 , 6 , 4 , 2 , 5 , 3 , 2 , }
ORDER : { 6 , 4 , 2 , 6 , 4 , 2 , 5 , 4 , 2 , }
